id,year,team1,team2,match_result,match_winner,toss_winner,action
231,2015,Mumbai Indians,Kolkata Knight Riders,Normal,Mumbai Indians,Kolkata Knight Riders ,field
232,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Sunrisers Hyderabad,bat
233,2015,Kings XI Punjab,Chennai Super Kings,Normal,Chennai Super Kings,Kings XI Punjab,bat
234,2015,Rajasthan Royals,Kolkata Knight Riders,Normal,Rajasthan Royals,Rajasthan Royals,bat
235,2015,Royal Challengers Bangalore,Delhi Capitals,NaN,NaN,Royal Challengers Bangalore,field
236,2015,Sunrisers Hyderabad,Mumbai Indians,Normal,Mumbai Indians,Sunrisers Hyderabad,bat
237,2015,Chennai Super Kings,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,bat
238,2015,Royal Challengers Bangalore,Rajasthan Royals,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,bat
239,2015,Chennai Super Kings,Royal Challengers Bangalore,Normal,Chennai Super Kings,Chennai Super Kings,field
240,2015,Mumbai Indians,Chennai Super Kings,Normal,Mumbai Indians,Chennai Super Kings,field
241,2014,Mumbai Indians,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,bat
242,2014,Delhi Capitals,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
243,2014,Chennai Super Kings,Kings XI Punjab,Normal,Kings XI Punjab,Chennai Super Kings,bat
244,2014,Sunrisers Hyderabad,Rajasthan Royals,Normal,Rajasthan Royals,Rajasthan Royals,field
245,2014,Royal Challengers Bangalore,Mumbai Indians,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
246,2014,Kolkata Knight Riders,Delhi Capitals,Normal,Delhi Capitals,Kolkata Knight Riders,bat
247,2014,Rajasthan Royals,Kings XI Punjab,Normal,Kings XI Punjab,Kings XI Punjab,field
248,2014,Chennai Super Kings,Delhi Capitals,Normal,Chennai Super Kings,Chennai Super Kings,bat
249,2014,Kings XI Punjab,Sunrisers Hyderabad,Normal,Kings XI Punjab,Sunrisers Hyderabad,field
250,2014,Rajasthan Royals,Chennai Super Kings,Normal,Chennai Super Kings,Rajasthan Royals,field
251,2014,Royal Challengers Bangalore,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Royal Challengers Bangalore,field
252,2014,Sunrisers Hyderabad,Delhi Capitals,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
253,2014,Chennai Super Kings,Mumbai Indians,Normal,Chennai Super Kings,Mumbai Indians,bat
254,2014,Rajasthan Royals,Royal Challengers Bangalore,Normal,Rajasthan Royals,Rajasthan Royals,field
255,2014,Kolkata Knight Riders,Kings XI Punjab,Normal,Kings XI Punjab,Kolkata Knight Riders,field
256,2014,Delhi Capitals,Mumbai Indians,Normal,Delhi Capitals,Mumbai Indians,bat
257,2014,Sunrisers Hyderabad,Chennai Super Kings,Normal,Chennai Super Kings,Sunrisers Hyderabad,bat
258,2014,Kings XI Punjab,Royal Challengers Bangalore,Normal,Kings XI Punjab,Kings XI Punjab,field
259,2014,Kolkata Knight Riders,Rajasthan Royals,Tied,Rajasthan Royals,Rajasthan Royals,bat
260,2014,Mumbai Indians,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Mumbai Indians,field
261,2014,Chennai Super Kings,Kolkata Knight Riders,Normal,Chennai Super Kings,Chennai Super Kings,bat
262,2014,Mumbai Indians,Kings XI Punjab,Normal,Mumbai Indians,Kings XI Punjab,bat
263,2014,Delhi Capitals,Rajasthan Royals,Normal,Rajasthan Royals,Rajasthan Royals,field
264,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
265,2014,Rajasthan Royals,Kolkata Knight Riders,Normal,Rajasthan Royals,Kolkata Knight Riders,field
266,2014,Delhi Capitals,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
267,2014,Mumbai Indians,Royal Challengers Bangalore,Normal,Mumbai Indians,Royal Challengers Bangalore,field
268,2014,Delhi Capitals,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Delhi Daredevils,bat
269,2014,Rajasthan Royals,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Rajasthan Royals,field
270,2014,Royal Challengers Bangalore,Kings XI Punjab,Normal,Kings XI Punjab,Royal Challengers Bangalore,field
271,2014,Delhi Capitals,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
272,2014,Mumbai Indians,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
273,2014,Kings XI Punjab,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
274,2014,Kings XI Punjab,Chennai Super Kings,Normal,Kings XI Punjab,Chennai Super Kings,field
275,2014,Royal Challengers Bangalore,Rajasthan Royals,Normal,Rajasthan Royals,Royal Challengers Bangalore,bat
276,2014,Sunrisers Hyderabad,Mumbai Indians,Normal,Mumbai Indians,Sunrisers Hyderabad,bat
277,2014,Chennai Super Kings,Rajasthan Royals,Normal,Chennai Super Kings,Rajasthan Royals,bat
278,2014,Royal Challengers Bangalore,Delhi Capitals,Normal,Royal Challengers Bangalore,Delhi Daredevils,field
279,2014,Sunrisers Hyderabad,Kings XI Punjab,Normal,Kings XI Punjab,Kings XI Punjab,field
280,2014,Kolkata Knight Riders,Mumbai Indians,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
281,2014,Rajasthan Royals,Delhi Capitals,Normal,Rajasthan Royals,Delhi Daredevils,field
282,2014,Chennai Super Kings,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Chennai Super Kings,bat
283,2014,Sunrisers Hyderabad,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Sunrisers Hyderabad,bat
284,2014,Rajasthan Royals,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,bat
285,2014,Delhi Capitals,Kings XI Punjab,Normal,Kings XI Punjab,Kings XI Punjab,field
